agent_job_audit_id,agent_server_scheduler_id,job_start_dt,job_completed_dt,job_next_run_dt,-,status,pid,rows|sec
"252345782","987","2014-11-20 20:55:01","2014-11-20 20:55:02","2014-11-20 21:00:00",\N,"COMPLETED","46064","1"
"252350321","987","2014-11-20 21:00:01",\N,"2014-11-20 21:00:00",\N,"STARTING","7619",\N
"252350427","987","2014-11-20 21:00:01","2014-11-20 21:00:01","2014-11-20 21:05:00",\N,"COMPLETED","7619","0"
"252355899","987","2014-11-20 21:05:01",\N,"2014-11-20 21:05:00",\N,"STARTING","16433",\N
"252356254","987","2014-11-20 21:05:01","2014-11-20 21:05:02","2014-11-20 21:10:00",\N,"COMPLETED","16433","1"
"252361194","987","2014-11-20 21:10:01",\N,"2014-11-20 21:10:00",\N,"STARTING","26669",\N
"252361310","987","2014-11-20 21:10:01","2014-11-20 21:10:02","2014-11-20 21:15:00",\N,"COMPLETED","26669","1"
"252366331","987","2014-11-20 21:15:01",\N,"2014-11-20 21:15:00",\N,"STARTING","35882",\N
"252366590","987","2014-11-20 21:15:01","2014-11-20 21:15:02","2014-11-20 21:20:00",\N,"COMPLETED","35882","1"
"252370924","987","2014-11-20 21:20:01",\N,"2014-11-20 21:20:00",\N,"STARTING","46075",\N
"252371154","987","2014-11-20 21:20:01","2014-11-20 21:20:01","2014-11-20 21:25:00",\N,"COMPLETED","46075","0"
"252376558","987","2014-11-20 21:25:01",\N,"2014-11-20 21:25:00",\N,"STARTING","5655",\N
"252376920","987","2014-11-20 21:25:01","2014-11-20 21:25:03","2014-11-20 21:30:00",\N,"COMPLETED","5655","2"
"252381276","987","2014-11-20 21:30:01",\N,"2014-11-20 21:30:00",\N,"STARTING","16420",\N
"252381373","987","2014-11-20 21:30:01","2014-11-20 21:30:01","2014-11-20 21:35:00",\N,"COMPLETED","16420","0"
"252386872","987","2014-11-20 21:35:01",\N,"2014-11-20 21:35:00",\N,"STARTING","25188",\N
"252387103","987","2014-11-20 21:35:01","2014-11-20 21:35:03","2014-11-20 21:40:00",\N,"COMPLETED","25188","2"
"252391540","987","2014-11-20 21:40:01",\N,"2014-11-20 21:40:00",\N,"STARTING","35444",\N
"252391706","987","2014-11-20 21:40:01","2014-11-20 21:40:01","2014-11-20 21:45:00",\N,"COMPLETED","35444","0"
"252397302","987","2014-11-20 21:45:02",\N,"2014-11-20 21:45:00",\N,"STARTING","44603",\N
"252397424","987","2014-11-20 21:45:02","2014-11-20 21:45:03","2014-11-20 21:50:00",\N,"COMPLETED","44603","1"
"252402113","987","2014-11-20 21:50:01",\N,"2014-11-20 21:50:00",\N,"STARTING","6018",\N
"252402233","987","2014-11-20 21:50:01","2014-11-20 21:50:01","2014-11-20 21:55:00",\N,"COMPLETED","6018","0"
"252407216","987","2014-11-20 21:55:01",\N,"2014-11-20 21:55:00",\N,"STARTING","14877",\N
"252407856","987","2014-11-20 21:55:01","2014-11-20 21:55:02","2014-11-20 22:00:00",\N,"COMPLETED","14877","1"
"252412342","987","2014-11-20 22:00:01",\N,"2014-11-20 22:00:00",\N,"STARTING","25405",\N
"252412491","987","2014-11-20 22:00:01","2014-11-20 22:00:01","2014-11-20 22:05:00",\N,"COMPLETED","25405","0"
"252417908","987","2014-11-20 22:05:01",\N,"2014-11-20 22:05:00",\N,"STARTING","34189",\N
"252418260","987","2014-11-20 22:05:01","2014-11-20 22:05:02","2014-11-20 22:10:00",\N,"COMPLETED","34189","1"
"252423053","987","2014-11-20 22:10:01",\N,"2014-11-20 22:10:00",\N,"STARTING","44436",\N
"252423154","987","2014-11-20 22:10:01","2014-11-20 22:10:01","2014-11-20 22:15:00",\N,"COMPLETED","44436","0"
"252428459","987","2014-11-20 22:15:02",\N,"2014-11-20 22:15:00",\N,"STARTING","4771",\N
"252428588","987","2014-11-20 22:15:02","2014-11-20 22:15:03","2014-11-20 22:20:00",\N,"COMPLETED","4771","1"
"252433633","987","2014-11-20 22:20:02",\N,"2014-11-20 22:20:00",\N,"STARTING","15136",\N
"252433663","987","2014-11-20 22:20:02","2014-11-20 22:20:02","2014-11-20 22:25:00",\N,"COMPLETED","15136","0"
"252438377","987","2014-11-20 22:25:01",\N,"2014-11-20 22:25:00",\N,"STARTING","23890",\N
"252438778","987","2014-11-20 22:25:01","2014-11-20 22:25:02","2014-11-20 22:30:00",\N,"COMPLETED","23890","1"
"252443455","987","2014-11-20 22:30:01",\N,"2014-11-20 22:30:00",\N,"STARTING","34143",\N
"252443804","987","2014-11-20 22:30:01","2014-11-20 22:30:02","2014-11-20 22:35:00",\N,"COMPLETED","34143","1"
"252448779","987","2014-11-20 22:35:02",\N,"2014-11-20 22:35:00",\N,"STARTING","42882",\N
"252448980","987","2014-11-20 22:35:02","2014-11-20 22:35:03","2014-11-20 22:40:00",\N,"COMPLETED","42882","1"
"252453713","987","2014-11-20 22:40:02",\N,"2014-11-20 22:40:00",\N,"STARTING","4264",\N
"252453978","987","2014-11-20 22:40:02","2014-11-20 22:40:02","2014-11-20 22:45:00",\N,"COMPLETED","4264","0"
"252458577","987","2014-11-20 22:45:01",\N,"2014-11-20 22:45:00",\N,"STARTING","13574",\N
"252459196","987","2014-11-20 22:45:01","2014-11-20 22:45:02","2014-11-20 22:50:00",\N,"COMPLETED","13574","1"
"252463597","987","2014-11-20 22:50:01",\N,"2014-11-20 22:50:00",\N,"STARTING","23868",\N
"252464153","987","2014-11-20 22:50:01","2014-11-20 22:50:02","2014-11-20 22:55:00",\N,"COMPLETED","23868","1"
"252469259","987","2014-11-20 22:55:01",\N,"2014-11-20 22:55:00",\N,"STARTING","32604",\N
"252469628","987","2014-11-20 22:55:01","2014-11-20 22:55:02","2014-11-20 23:00:00",\N,"COMPLETED","32604","1"
"252474279","987","2014-11-20 23:00:01",\N,"2014-11-20 23:00:00",\N,"STARTING","42855",\N
"252474424","987","2014-11-20 23:00:01","2014-11-20 23:00:02","2014-11-20 23:05:00",\N,"COMPLETED","42855","1"
"252479682","987","2014-11-20 23:05:02",\N,"2014-11-20 23:05:00",\N,"STARTING","2056",\N
"252479795","987","2014-11-20 23:05:02","2014-11-20 23:05:02","2014-11-20 23:10:00",\N,"COMPLETED","2056","0"
"252484154","987","2014-11-20 23:10:01",\N,"2014-11-20 23:10:00",\N,"STARTING","11584",\N
"252484295","987","2014-11-20 23:10:01","2014-11-20 23:10:01","2014-11-20 23:15:00",\N,"COMPLETED","11584","0"
"252489353","987","2014-11-20 23:15:01",\N,"2014-11-20 23:15:00",\N,"STARTING","19595",\N
"252489967","987","2014-11-20 23:15:01","2014-11-20 23:15:02","2014-11-20 23:20:00",\N,"COMPLETED","19595","1"
"252494581","987","2014-11-20 23:20:01",\N,"2014-11-20 23:20:00",\N,"STARTING","29055",\N
